2i2c, 2i2c,^2i2c| 2i2c,^2i2c| 2i2c
archipelago commons,archipelago commons,archipelago commons,archipelago commons
archival resource key,archival resource key,archival resource key,archival resource key
arxiv, arxiv,^arxiv| arxiv,^arxiv| arxiv
biorxiv,biorxiv,biorxiv,biorxiv
brcris,brcris,brcris,brcris
core,core.ac.uk|core (connecting repositories)|core (research service),core.ac.uk|core (connecting repositories)|core (research service),core.ac.uk|core (connecting repositories)|core (research service)
counter code of practice,counter code of practice,counter code of practice,counter code of practice
creative commons licenses,creative commons licenses,creative commons licenses,creative commons licenses
crossref,crossref,crossref,crossref
datacite,datacite,datacite,datacite
dataverse,dataverse,dataverse,dataverse
directory of open access books (doab),directory of open access books| doab ,directory of open access books|^doab | doab ,directory of open access books|^doab | doab 
directory of open access journals (doaj),directory of open access journals|doaj,directory of open access journals|doaj,directory of open access journals|doaj
dokieli,dokieli,dokieli,dokieli
dryad,dryad,dryad,dryad
dspace, dspace,^dspace| dspace,^dspace| dspace
eduid.africa,eduid.africa|eduid africa,eduid.africa|eduid africa,eduid.africa|eduid africa
érudit,érudit| erudit ,érudit| erudit |^erudit ,érudit| erudit |^erudit 
europe pmc,europe pmc|europe pubmed central,europe pmc|europe pubmed central,europe pmc|europe pubmed central
fedora,fedora,fedora,fedora
fulcrum,fulcrum,fulcrum,fulcrum
humanities commons,humanities commons,humanities commons,humanities commons
hyku,hyku,hyku,hyku
iiif,iiif,iiif,iiif
invenio rdm,invenio rdm,invenio rdm,invenio rdm
islandora,islandora,islandora,islandora
janeway,janeway,janeway,janeway
journal article tag suite,journal article tag suite,journal article tag suite,journal article tag suite
la referencia,la referencia,la referencia,la referencia
manifold,manifoldapp.org,manifoldapp.org|manifoldapp,manifoldapp.org|manifoldapp
medrxiv,medrxiv,medrxiv,medrxiv
mendeley data,mendeley data,mendeley data,mendeley data
mirador,mirador,mirador,mirador
mukurtu,mukurtu,mukurtu,mukurtu
o portal brasileiro de publicações e dados científicos em acesso aberto (the brazilian open access publications and scientific data portal) (oasisbr),o portal brasileiro de publicações e dados científicos em acesso aberto|the brazilian open access publications and scientific data portal|oasisbr,o portal brasileiro de publicações e dados científicos em acesso aberto|the brazilian open access publications and scientific data portal|oasisbr,o portal brasileiro de publicações e dados científicos em acesso aberto|the brazilian open access publications and scientific data portal|oasisbr
oa switchboard,oa switchboard,oa switchboard,oa switchboard
oapen library,oapen,oapen,oapen
omeka, omeka,^omeka| omeka,^omeka| omeka
open journal systems (ojs),open journal systems| ojs ,open journal systems| ojs |^ojs ,open journal systems| ojs |^ojs 
open monograph press (omp),open monograph press,open monograph press,open monograph press
open preprint systems (ops),open preprint systems,open preprint systems,open preprint systems
public knowledge project,public knowledge project,public knowledge project,public knowledge project
openalex,openalex,openalex,openalex
opencitations,opencitations,opencitations,opencitations
openedition,openedition,openedition,openedition
osf (open science framework),open science framework| osf ,open science framework| osf |^osf ,open science framework| osf |^osf 
oxford common file layout,oxford common file layout,oxford common file layout,oxford common file layout
peer community in,peer community in,peer community in,peer community in
prereview,prereview,prereview,prereview
pressbooks,pressbooks,pressbooks,pressbooks
public access submission system,public access submission system,public access submission system,public access submission system
pubpub,pubpub,pubpub,pubpub
research organization registry (ror),research organization registry,research organization registry| ror |^ror ,research organization registry| ror |^ror 
rogue scholar,rogue scholar,rogue scholar,rogue scholar
"sherpa services (sherpa romeo, sherpa juliet and opendoar)",sherpa services|sherpa romeo|sherpa juliet|opendoar,sherpa services|sherpa romeo|sherpa juliet|opendoar,sherpa services|sherpa romeo|sherpa juliet|opendoar
vufind,vufind,vufind,vufind
zenodo,zenodo,zenodo,zenodo
